"SourceIP","DestinationIP","Port"
"10.0.0.62","192.30.253.125","443"
"10.0.0.62","52.96.32.2","443"
"10.0.0.62","192.30.253.124","443"
"10.0.0.62","52.173.28.179","443"
"10.0.0.62","52.247.238.47","443"
"10.0.0.62","172.217.8.3","443"
"10.0.0.62","52.114.142.93","443"
"10.0.0.62","172.217.7.197","443"
"10.0.0.62","172.217.7.206","443"
"10.0.0.62","52.173.26.181","443"
"10.0.0.62","64.39.104.113","443"
"10.0.0.62","40.121.3.131","443"
"10.0.0.62","52.114.6.46","443"
"10.0.0.62","13.107.42.12","443"
